,id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
53681,53681,6000,3,20,222.99,D,D4,34810,6 years,2,75000,2,2017/11/1,0,2,425,44,23.13,5,660,664,10,0,0,1623,8.8,27,1,0,2010/11/22,5,1,3,3,5,5,3,3,20,5,5,5,10,0,0,4,8
98426,98426,14000,3,5.32,421.61,A,A1,5280,10+ years,0,135000,0,2016/9/1,0,0,156,18,10.84,0,740,744,11,0,0,2871,8.3,30,1,0,2010/11/23,0,1,1,3,3,3,5,11,9,8,18,3,11,0,0,0,0
307621,307621,12000,3,19.05,440.18,D,D4,300850,10+ years,1,42000,0,2013/5/1,0,0,11,5,18.51,0,660,664,14,0,0,15016,97.5,18,1,0,2010/11/24,2001,1,0,9,14,14,9,12,0,14,18,14,14,0,0,0,1
772019,772019,10000,3,14.08,342.17,C,C3,2595,8 years,1,32000,2,2017/5/1,1,4,51,13,29.63,0,710,714,14,0,0,15778,42.9,19,1,0,2010/11/25,4,1,0,6,6,6,7,9,1,13,18,6,14,0,0,0,0
439317,439317,10000,3,15.05,346.9,C,C4,118702,10+ years,0,95000,1,2017/8/1,0,5,529,23,20.4,0,670,674,9,0,0,14653,76.7,18,0,0,2010/11/26,6,1,0,4,5,5,5,6,7,6,10,5,9,0,0,0,3
248458,248458,12000,3,11.53,395.89,B,B5,62,10+ years,0,100000,1,2015/7/1,0,0,4,3,16.27,2,675,679,12,1,0,3429,30.9,19,0,0,2010/11/27,0,1,1,4,4,4,6,9,6,6,11,4,12,0,0,0,3
656372,656372,20375,3,12.05,677.23,C,C1,97,4 years,1,80000,1,2015/11/1,1,0,102,26,23.54,0,705,709,8,0,0,18971,39.1,19,0,0,2010/11/28,0,1,0,4,4,4,4,5,7,6,12,4,8,0,0,0,0
553430,553430,14000,5,17.57,352.25,D,D2,256859,6 years,1,60000,2,2013/12/1,1,0,108,21,32.02,0,740,744,15,0,0,3478,18.8,26,1,0,2010/11/29,22439,1,0,1,3,3,4,5,6,12,20,3,15,0,0,0,3
37598,37598,10775,3,10.15,348.44,B,B2,1558,2 years,2,30000,1,2014/7/1,0,0,207,0,12,0,665,669,11,0,0,10398,53.1,19,0,0,2010/11/30,0,1,0,4,8,8,4,4,4,11,15,8,11,0,0,0,0
411341,411341,17625,5,25.8,525.62,G,G1,188816,7 years,0,42000,0,2014/8/1,0,3,637,41,17.31,1,660,664,8,0,0,12385,44.9,12,1,0,2010/12/1,3,1,0,3,3,3,6,7,2,6,8,3,8,0,0,0,0
165872,165872,3000,3,12.69,100.64,C,C2,54,,1,47500,2,2015/6/1,0,0,726,0,7.38,0,665,669,23,1,0,3033,8.5,32,1,0,2010/12/2,0,1,1,9,12,12,9,11,7,22,25,12,23,0,0,0,8
593123,593123,19200,5,12.29,429.92,C,C1,54,,1,57745,0,2015/8/1,1,0,219,21,15.32,0,715,719,5,0,0,6972,63.4,12,1,0,2010/12/3,0,1,0,2,3,3,2,2,8,4,4,3,5,0,0,0,1
416892,416892,6000,3,8.19,188.55,A,A5,36329,2 years,1,39000,0,2014/11/1,0,0,0,0,26.9,0,730,734,19,0,0,1919,33.1,31,0,0,2010/12/4,0,1,0,2,3,3,3,7,17,5,13,3,19,0,0,0,3
717334,717334,21250,5,19.72,559.69,D,D5,276258,10+ years,0,48000,2,2012/11/1,0,0,688,23,28.18,0,685,689,7,0,0,16207,85.8,11,1,0,2010/12/5,0,1,0,4,6,6,4,5,4,6,7,6,7,0,0,0,2
646595,646595,16000,5,21.18,434.48,E,E3,101668,1 year,1,60000,1,2016/3/1,1,5,365,19,18.12,0,720,724,10,0,0,4120,24.8,18,0,0,2010/12/6,6,1,0,4,7,7,4,5,6,8,11,7,10,0,0,0,2
550966,550966,6500,3,12.99,218.98,C,C1,4024,2 years,0,43000,1,2014/7/1,1,0,116,14,20.85,0,670,674,7,0,0,6022,46.3,19,1,0,2010/12/7,0,1,0,2,6,6,2,3,12,6,7,6,7,0,0,0,4
778228,778228,15000,5,17.86,379.76,D,D5,1037,10+ years,1,58000,2,2015/4/1,1,0,21,13,27.21,0,695,699,15,0,0,48467,78.6,33,0,0,2010/12/8,0,1,0,3,10,10,3,10,3,14,27,10,15,0,0,0,5
410661,410661,6000,3,10.07,193.81,B,B2,216937,8 years,0,42000,1,2018/5/1,0,0,586,43,4.86,1,660,664,9,1,1,3158,25.7,21,0,0,2010/12/9,0,1,2,2,4,4,3,3,7,8,13,4,9,0,0,1,4
153632,153632,15000,3,9.8,482.61,B,B3,168888,8 years,1,80000,1,2016/2/1,1,4,225,18,13.04,0,680,684,10,0,0,20015,60.5,16,0,0,2010/12/10,2,1,0,2,5,5,4,7,1,9,15,6,10,0,0,0,3
629817,629817,4800,3,11.39,158.04,B,B3,110574,9 years,2,63000,1,2017/1/1,0,4,540,13,10.67,0,665,669,7,1,0,8040,54.7,19,1,0,2010/12/11,4,1,2,2,3,3,2,5,5,5,10,3,7,0,0,0,2
233709,233709,4200,3,9.16,133.88,B,B2,33225,10+ years,2,54000,0,2016/2/1,0,4,80,21,7.6,0,660,664,8,1,1,5996,33.7,21,0,0,2010/12/12,4,1,0,3,3,3,5,12,3,7,16,3,7,0,0,0,1
64091,64091,6000,3,13.99,205.04,C,C3,7348,3 years,1,28000,2,2017/1/1,0,0,130,33,12.16,0,705,709,22,1,1,7041,66.4,24,0,0,2010/12/13,0,1,0,4,4,4,4,4,20,4,4,4,22,0,0,0,2
328757,328757,40000,3,10.49,1299.91,B,B3,56,6 years,0,208000,2,2016/9/1,0,0,62,13,22.33,1,715,719,13,0,0,98258,39.2,25,0,0,2010/12/14,0,1,0,3,5,5,5,9,10,9,13,5,13,0,0,0,2
535677,535677,6000,3,5.32,180.69,A,A1,161,7 years,0,98000,1,2015/6/1,0,4,361,8,5.78,1,675,679,7,2,2,3118,17.1,26,0,0,2010/12/15,4,1,1,2,2,2,3,6,4,5,19,2,7,0,0,0,1
122556,122556,3975,3,19.99,147.71,E,E1,54,,0,49867.92,2,2014/4/1,0,0,411,11,20.1,0,680,684,7,0,0,5598,67.4,21,1,0,2010/12/16,0,1,1,1,5,5,1,8,4,6,15,5,7,0,0,0,2
48640,48640,7000,3,7.89,219,A,A5,405,10+ years,0,47500,1,2016/5/1,0,4,623,13,16.3,0,680,684,8,1,1,8337,41.3,22,0,0,2010/12/17,4,1,0,2,3,3,3,7,3,7,19,3,8,0,0,0,4
423318,423318,14000,3,11.44,461.27,B,B4,21189,3 years,1,54000,0,2016/11/1,0,0,99,8,20.55,0,740,744,18,0,0,17437,25.1,19,0,0,2010/12/18,0,1,0,10,13,13,13,14,1,16,17,13,18,0,0,0,4
43375,43375,9500,3,5.32,286.1,A,A1,995,7 years,0,105000,1,2015/8/1,0,2,153,11,4.63,0,790,794,9,0,0,3597,7.1,28,0,0,2010/12/19,5,1,0,2,3,3,5,9,9,7,16,3,9,0,0,0,3
374837,374837,6000,3,6.89,184.97,A,A3,71829,6 years,1,45000,1,2015/6/1,0,4,79,2,27.57,0,715,719,13,0,0,6237,54.2,27,0,0,2010/12/20,4,1,1,1,1,1,1,1,24,2,2,1,13,0,0,0,1
605823,605823,17850,3,12.99,601.36,C,C1,2131,4 years,0,135000,1,2014/10/1,0,0,484,21,15.15,0,675,679,12,1,1,4386,27.6,35,0,0,2010/12/21,0,1,0,4,5,5,4,13,13,9,20,5,11,0,0,0,4
212814,212814,35000,5,15.31,838.36,C,C5,41605,3 years,0,116000,1,2016/3/1,0,0,463,48,15.73,0,685,689,7,0,0,18281,76.8,28,0,0,2010/12/22,0,1,0,3,4,4,3,4,17,4,7,4,7,0,0,0,4
608470,608470,8600,3,13.98,293.85,C,C3,22,4 years,2,44000,1,2014/11/1,0,2,558,24,16.45,0,690,694,5,1,1,2122,31.2,16,0,0,2010/12/23,5,1,0,2,2,2,2,10,2,3,13,2,5,0,0,0,3
582403,582403,12000,3,8.99,381.55,B,B1,363283,< 1 year,0,98248,1,2016/7/1,0,0,46,27,14.77,1,720,724,17,0,0,25413,46.5,46,0,0,2010/12/24,0,1,0,7,11,11,7,17,8,13,31,11,17,0,0,0,3
440797,440797,15000,3,10.99,491.01,B,B2,1430,4 years,2,55000,2,2014/4/1,0,0,781,40,12.86,0,680,684,9,0,0,15823,33,18,0,0,2010/12/25,0,1,0,4,6,6,6,6,6,8,12,6,9,0,0,0,2
636559,636559,4800,3,10.99,157.13,B,B4,79285,2 years,0,140000,0,2015/5/1,1,0,590,8,20.23,0,750,754,10,0,0,13027,73.6,24,0,0,2010/12/26,0,1,0,3,3,3,4,7,8,5,13,3,10,0,0,0,2
760759,760759,5000,3,6.99,154.37,A,A2,1386,10+ years,0,60000,2,2016/6/1,0,4,143,8,12.92,1,725,729,22,0,0,13998,23.2,36,0,0,2010/12/27,4,1,0,6,8,8,11,16,3,19,30,8,22,0,0,0,2
264268,264268,7125,3,17.27,254.99,D,D2,6809,< 1 year,2,21000,1,2016/5/1,0,0,116,14,27.89,0,675,679,6,0,0,1696,33.3,27,0,0,2010/12/28,0,1,2,2,4,4,2,6,4,6,22,4,6,0,0,0,2
236425,236425,8075,3,7.89,252.64,A,A5,54,,0,65000,2,2015/4/1,0,5,271,35,24,1,730,734,15,0,0,15213,28.8,32,0,0,2010/12/29,6,1,0,3,6,6,4,6,11,10,16,6,15,0,0,0,3
701344,701344,6000,3,19.99,222.96,D,D4,54,,1,26000,2,2017/4/1,0,0,507,19,7.34,0,705,709,8,1,1,5580,0.7,35,1,0,2010/12/30,0,1,0,3,3,3,6,17,2,8,33,3,8,0,0,0,5
654384,654384,7500,3,15.31,261.13,C,C2,325776,1 year,0,45000,2,2012/12/1,0,0,171,8,27.21,0,680,684,10,0,0,4248,72,35,1,0,2010/12/31,137,1,3,4,6,6,4,15,8,6,24,6,10,0,0,0,2
109772,109772,1000,3,15.05,34.69,C,C4,99713,9 years,0,55000,2,2017/8/1,1,9,201,2,20.07,0,705,709,9,1,1,19151,49,13,0,0,2011/1/1,10,1,0,4,6,6,4,4,2,7,9,6,9,0,0,0,2
323270,323270,1000,3,13.33,33.86,C,C3,31158,10+ years,1,35000,1,2015/9/1,0,3,8,6,11.59,0,675,679,10,1,0,1218,12.4,14,0,0,2011/1/2,3,1,1,1,2,2,2,6,1,8,12,2,10,0,0,0,2
383490,383490,10000,3,10.99,327.34,B,B4,51832,5 years,0,50000,2,2015/7/1,0,2,72,10,19.54,0,700,704,7,0,0,12510,61.6,21,1,0,2011/1/3,5,1,0,2,4,4,2,3,15,4,6,4,7,0,0,0,2
761907,761907,2525,3,11.99,83.86,B,B3,511,3 years,2,35000,0,2014/4/1,0,0,79,2,11.52,0,740,744,7,0,0,2524,19.1,15,1,0,2011/1/4,0,1,0,3,4,4,3,5,4,6,11,4,7,0,0,0,3
318027,318027,7800,3,11.49,257.18,B,B5,279,6 years,0,35000,1,2016/10/1,0,0,238,22,17.57,0,700,704,6,0,0,7874,39.4,21,0,0,2011/1/5,0,1,0,1,2,2,1,3,8,3,8,2,6,0,0,0,2
497079,497079,8975,3,15.1,311.57,C,C2,11637,2 years,0,40000,1,2013/10/1,0,0,518,1,30.24,0,725,729,8,0,0,4152,52.6,30,1,0,2011/1/6,0,1,0,1,4,4,1,6,16,4,12,4,8,0,0,0,3
28092,28092,35000,3,14.49,1204.57,C,C4,86830,6 years,0,135000,2,2014/10/1,0,0,342,21,18.87,0,705,709,14,0,0,70932,66.5,28,1,0,2011/1/7,0,1,0,5,6,6,7,9,6,11,16,6,14,0,0,0,2
141356,141356,11750,3,17.57,422.27,D,D4,71,10+ years,2,49000,2,2015/11/1,1,0,2,2,18.98,0,665,669,12,0,0,27200,97.1,17,1,0,2011/1/8,0,1,0,9,12,12,9,11,1,12,16,12,12,0,0,0,3
213830,213830,14000,3,9.75,450.1,B,B3,1637,9 years,1,41000,0,2016/3/1,0,0,337,14,22.78,0,695,699,14,0,0,10885,31.7,37,0,0,2011/1/9,2,1,0,4,7,7,5,8,18,13,19,7,14,0,0,0,2
621989,621989,24200,3,15.59,845.91,C,C5,67818,10+ years,0,110000,1,2016/7/1,0,0,223,12,13.89,0,710,714,13,0,0,14481,73.5,21,0,0,2011/1/10,0,1,0,6,8,8,7,7,9,9,10,8,13,0,0,0,3
788341,788341,16200,3,10.99,530.3,B,B3,54,,2,74000,2,2014/8/1,0,0,324,10,25.96,0,665,669,13,1,1,8543,27.1,47,0,0,2011/1/11,0,1,1,2,7,7,2,12,12,11,30,7,12,0,0,0,2
512521,512521,14000,5,12.49,314.9,B,B5,2001,4 years,0,93000,0,2014/5/1,0,2,195,38,13.45,0,745,749,10,0,0,7840,40,18,1,0,2011/1/12,5,1,0,3,5,5,4,5,3,7,9,5,10,0,0,0,2
414905,414905,11700,3,15.8,410.19,C,C3,341354,< 1 year,1,35000,1,2012/7/1,1,0,536,23,25.92,0,675,679,11,0,0,10159,64.7,25,1,0,2011/1/13,38,1,,,,,5,,,,,,11,,,,
542230,542230,9175,3,21,345.67,E,E1,55566,3 years,0,80000,1,2013/11/1,0,4,38,21,13.13,0,660,664,10,0,0,6195,66.6,15,0,0,2011/1/14,56,1,2,5,7,7,5,5,4,7,9,7,10,0,0,0,3
506137,506137,32000,5,16.29,783.12,C,C4,223239,7 years,0,111838,2,2013/4/1,0,0,152,14,9.11,0,685,689,14,0,0,27517,65.2,30,1,0,2011/1/15,38,1,0,7,10,10,9,18,3,12,26,10,14,0,0,0,1
324262,324262,16000,3,5.32,481.84,A,A1,370832,3 years,1,105000,0,2016/12/1,0,0,277,8,11.24,0,720,724,18,0,0,12747,18.8,24,0,0,2011/1/16,0,1,0,4,5,5,7,12,10,9,14,5,18,0,0,0,1
4974,4974,9600,3,11.53,316.71,B,B5,427,3 years,1,59225,1,2015/6/1,0,5,265,7,24.9,0,680,684,13,0,0,24164,67.3,26,1,0,2011/1/17,6,1,0,2,8,8,3,8,5,11,18,8,13,0,0,0,3
793259,793259,10000,3,12.12,332.72,B,B3,303196,2 years,0,85000,0,2013/4/1,0,0,161,14,3.6,1,665,669,9,1,1,11037,59.3,16,0,0,2011/1/18,38,1,0,3,6,6,4,5,2,8,11,6,9,0,0,0,2
